MAIN_ID,IDS,Z_VALUE,FLUX_B,FLUX_V,SCRIPT_NUMBER_ID
GRB 030326,GRB 030326,,,,0
GRB 910310,GRB 910310|WATCH 910310,,,,0
GRB 970825,GRB 970825|Trigger  6346|[STK2001] 10685c,,,,0
GRB 950526,GRB 950526,,,,0
[STK2001] 11530f,[STK2001] 11530f,,,,0
GRB 131205A,GRB 131205A,,,,0
[STK2001] 10458a,[STK2001] 10458a,,,,0
Trigger  6347,Trigger  6347|[STK2001] 10686a,,,,0
GRB 991028,GRB 991028|Trigger  7827,,,,0
[STK2001] 10349b,[STK2001] 10349b,,,,0
1B 920114,1B 920114|2B 920114|3B 920114|4B 920114|GRB 920114|Trigger  1298,,,,0
GRB 791222,GRB 791222|KONUS 22.12.79|[ABH87] 79,,,,0
Fermi bn161020024,GRB 161020A|Fermi bn161020024,,,,0
[KLK2001] 940521.60,[KLK2001] 940521.60,,,,0
Fermi bn150619287,Fermi bn150619287,,,,0
GRB 010607,GRB 010607,,,,0
GRB 050611,GRB 050611,,,,0
[STK2001] 11641c,[STK2001] 11641c,,,,0
3B 930809,3B 930809|4B 930809|GRB 930809|Trigger  2486,,,,0
GRB 990718,GRB 990718|Trigger  7660|[STK2001] 11377e,,,,0
GRB 970831,GRB 970831|Trigger  6353|[STK2001] 10691a,,,,0
GRB 070309,GRB 070309,1.4970000,19.389999389648438,19.030000686645508,0
[STK2001] 09831a,[STK2001] 09831a,,,,0
[STK2001] 08606c,[STK2001] 08606c,,,,0
GRB 930612B,3B 930612B|4B 930612B|GRB 930612B|Trigger  2389|[STK2001] 09150c,,,,0
Fermi bn140105748,Fermi bn140105748,,,,0
GRB 980218B,GRB 980218B,,,,0
GRB 220706A,GRB 220706A,,,,0
[STK2001] 11028a,[STK2001] 11028a,,,,0
Fermi bn130324042,Fermi bn130324042,,,,0
GRB 210719A,GRB 210719A,,,,0
GRB 191102A,GRB 191102A,,,,0
GRB 200622A,GRB 200622A,,,,0
3B 931101,3B 931101|4B 931101|GRB 931101|GRB 931101A|Trigger  2614|[STK2001] 09292a,,,,0
[STK2001] 11286a,[STK2001] 11286a,,,,0
GRB 220905A,GRB 220905A,,,,0
1B 910528,1B 910528|2B 910528|3B 910528|4B 910528|GRB 910528|Trigger   235|[STK2001] 08404d,,,,0
Trigger  6950,Trigger  6950|[STK2001] 11021b,,,,0
GRB 000323,GRB 000323|Trigger  8049|[STK2001] 11626a,,,,0
Fermi bn150312403,Fermi bn150312403,,,,0
[STK2001] 11221d,[STK2001] 11221d,,,,0
Trigger  7528,Trigger  7528|[STK2001] 11292d,,,,0
[STK2001] 09076c,[STK2001] 09076c,,,,0
Trigger  7238,Trigger  7238,,,,0
[STK2001] 10762c,[STK2001] 10762c,,,,0
GRB 071028,GRB 071028,,,,0
